# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 6.256645873404327596e-02 1.969546152747913420e-02 4.551193618876891556e+00 1.350748843519422371e+00 1.147139269512713888e-01 3.678574615315441942e-01 5.278024886578783215e-02 1.768129843284103192e-02 5.039185064747376153e+00 1.532410072116258570e+00 1.207569022110487472e-01 3.809850086576921924e-01
1.000000000000000000e+03 1.752775404903250678e-02 1.093917978717998639e-02 1.578396999963299803e-03 2.202409791774845652e-02 2.315861502881916972e-02 3.372678053667247777e-03 1.767700878745117124e-02 1.212191098686172738e-02 1.442268326953866347e-03 2.292184621543126230e-02 2.639726183651179212e-02 1.779661667452140305e-03
2.000000000000000000e+03 1.516726781678851520e-02 1.132211658328548948e-02 1.288059989625632562e-03 1.985517671297885520e-02 2.241509498145641266e-02 2.244985397451736142e-03 1.624941847506712264e-02 1.272631270952514354e-02 1.230101117984223023e-03 2.179223932017879811e-02 2.596389049782035774e-02 1.385691359255532534e-03
3.000000000000000000e+03 1.367243826856985589e-02 1.125202552893134200e-02 1.309588424624229860e-03 1.897849429476785449e-02 2.144989507631667180e-02 2.072189552119228697e-03 1.483543885921483410e-02 1.254012688529750758e-02 1.191368323684608137e-03 2.094601268927160850e-02 2.482333698113450143e-02 1.397824837251995149e-03
4.000000000000000000e+03 1.249767463325533734e-02 1.136077400695451045e-02 1.809181679290421856e-03 1.816471924697721924e-02 2.048982650950402842e-02 1.956617233159080056e-03 1.348219950770908511e-02 1.275495233249824764e-02 1.636365869929659643e-03 2.020093922986385127e-02 2.384496658524905971e-02 1.262216091715745924e-03
5.000000000000000000e+03 1.143107733248818064e-02 1.146696752450854402e-02 1.640308740787628982e-03 1.764733644529404774e-02 1.989042271437882481e-02 1.645918380775689312e-03 1.259277047864763507e-02 1.300191091410982797e-02 1.787936744693880082e-03 1.972240432032210805e-02 2.320458315852725814e-02 1.260935912386337192e-03
6.000000000000000000e+03 1.072254171536695354e-02 1.189327635387498264e-02 2.152724039960631983e-03 1.707623805091791624e-02 1.937997025783554442e-02 1.789907105969017068e-03 1.194365100757536699e-02 1.319124236132851284e-02 2.252571393375768678e-03 1.908758002579893920e-02 2.246013515798934643e-02 1.621170394173534210e-03
7.000000000000000000e+03 1.046674552140685645e-02 1.199004668091743081e-02 1.876247761721293620e-03 1.680386817373810335e-02 1.868087980750661459e-02 1.382752403292863844e-03 1.170885589397452353e-02 1.378352414819548899e-02 2.213670465937768016e-03 1.897499495238292797e-02 2.185057480941293012e-02 1.225072513939503378e-03
8.000000000000000000e+03 1.037957065519181168e-02 1.217091307139644973e-02 1.965328281656476481e-03 1.687441080039496499e-02 1.838275392314778212e-02 1.339880560958681740e-03 1.174940224718162667e-02 1.409033401345139574e-02 2.332098802235504486e-03 1.916074737081404494e-02 2.142632401494264788e-02 1.387865057879730801e-03
9.000000000000000000e+03 1.003144373724631361e-02 1.212296619048740254e-02 2.010041326947206459e-03 1.636297176376315388e-02 1.791931395764824464e-02 1.401633541865740214e-03 1.120661640205065750e-02 1.404100301564660883e-02 2.377998529017548608e-03 1.859941563005631376e-02 2.083333863533329972e-02 1.328661808753588917e-03
