# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 1.214219166594568478e+01 4.274717411397983113e+00 1.165954570939236135e+01 1.853870057459788390e+00 4.448450778825258078e-02 2.700580513931299387e-01 1.144850938328434076e+01 4.666472390376238621e+00 1.092767866623669804e+01 2.148066332576431314e+00 3.938999117047290582e-02 2.580166445653678253e-01
1.000000000000000000e+03 4.270655062612453423e-01 1.989233152472095867e+00 4.312441482579223995e-01 2.093041388627841837e+00 2.820924305157819501e-02 1.637677430925396985e-02 4.216550093108432651e-01 1.901512515846405904e+00 4.567729487597035343e-01 1.958589904767251255e+00 2.669294497032886210e-02 1.883718448567336251e-02
2.000000000000000000e+03 5.643418844890867730e-02 7.361823321473274229e-01 6.088449277023745554e-02 7.675136583565858039e-01 4.333761103922659751e-03 6.316550549474394573e-03 4.900514491533672357e-02 8.547989568130439642e-01 6.118891869130495959e-02 8.950871371128908960e-01 5.163571563151143386e-03 7.482442425925347682e-03
3.000000000000000000e+03 5.263850915881058273e-02 3.765244880212898493e-01 5.558450470270080712e-02 3.887921909348128202e-01 1.513459066045197768e-02 1.607545023727686290e-02 5.825065462017958717e-02 4.407544260920548407e-01 6.248961606102133165e-02 4.584714849075536836e-01 1.706037508135654565e-02 1.840785378240037545e-02
4.000000000000000000e+03 3.982755773074378447e-02 2.658432854707613591e-01 3.670698667265400589e-02 2.630350336802816380e-01 2.096161329851731203e-02 1.120457280689343346e-02 4.345734037745952599e-02 3.096344685526294938e-01 4.071968764308876026e-02 3.086107094872067580e-01 2.408620520451989350e-02 1.181197309429294316e-02
5.000000000000000000e+03 3.178410250223386024e-02 2.006287482112092957e-01 3.054278308655535359e-02 1.972279073816597950e-01 1.720663013381736051e-02 3.781174040101587842e-03 3.481898346618843287e-02 2.312097192733266193e-01 3.275023003171903535e-02 2.310348047274208838e-01 2.005864571504203941e-02 3.952536720160541861e-03
6.000000000000000000e+03 2.603559817686798908e-02 1.572781755392149983e-01 2.422202397597515364e-02 1.538363170799408319e-01 1.023247727655428319e-02 4.393124078810646364e-03 2.902760573356583454e-02 1.807541587642134684e-01 2.567445450181821825e-02 1.815458795867858355e-01 1.219999197364321150e-02 4.702829736421229069e-03
7.000000000000000000e+03 2.436904871602013287e-02 1.309984378530438809e-01 2.250948360725278305e-02 1.259777673924510621e-01 8.196850684446138971e-03 5.416665768321015512e-03 2.784967029022912544e-02 1.508003269152903836e-01 2.377970805214756414e-02 1.497835261742198609e-01 9.816804196257368151e-03 6.000426076548746185e-03
8.000000000000000000e+03 2.347596309012718249e-02 1.134321773489266744e-01 1.980285674100268692e-02 1.075806990782832429e-01 6.129513689841522943e-03 4.364158170158810579e-03 2.700213882987222494e-02 1.308733527745915559e-01 2.032171058244773565e-02 1.282079224520372429e-01 7.319105064122715179e-03 4.904113466847061752e-03
9.000000000000000000e+03 2.295914215160957395e-02 1.013862437845503700e-01 1.836988559053663594e-02 9.451236046102433341e-02 6.036712563447838367e-03 4.384155968718344946e-03 2.657307902840711986e-02 1.171876427705466905e-01 1.872581097962975477e-02 1.126532656877214933e-01 7.175506326848610575e-03 4.882423154818549792e-03
