# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 3.705052497673354955e-02 8.145044422399425610e-01 6.134298210406701912e+01 6.506873308115316279e-01 4.233595592585160348e-03 1.625250885718979355e+00 1.869153053136316345e+01 8.706916492931224827e-01 1.978855966088013951e-02 1.287119811621771073e-03 2.007201499572358117e+01 2.723086712201698401e+00 3.313457055673579149e-02 8.088596935202232441e-01 5.496320724464896301e+01 3.772840380959805451e-01 3.713566365739501361e-03 1.630321701091571152e+00 1.900533165673583369e+01 8.416229407280647612e-01 1.897418807967294826e-02 9.469658714911698355e-04 1.466655938903064893e+01 2.124921990868446464e+00
1.000000000000000000e+03 5.926805747486481035e-01 9.922605697718454854e-02 5.397407256968239642e-01 5.501708432030457535e-02 3.820877941373646003e-01 9.096790028466299194e-02 6.784498022686735741e-01 4.884652006268588170e-02 1.094589561320975617e-02 1.886744840992422064e-03 2.722934025994123292e-03 4.000602945079692260e-03 5.584392089858639663e-01 8.825814189741133797e-02 2.094491095468788422e-01 5.476935356820472611e-02 3.592718952923154019e-01 7.604981716326704444e-02 2.527740254084228644e-01 5.418703045059869439e-02 8.292758302954577124e-03 1.995126621302798983e-03 1.820152393280841064e-03 3.239302138259019144e-03
2.000000000000000000e+03 2.513784806147817963e-01 1.845207760822641652e-01 1.113262853118552470e-01 1.090143852205641278e-01 2.169666773280232996e-01 1.981928344988628521e-01 1.246926319122545479e-01 1.158731933217788806e-01 7.706558636600957784e-04 1.234327204325438637e-03 9.095066839892056903e-04 8.310917311755822677e-04 2.721515934923615654e-01 1.559666313883789068e-01 6.892335033764999952e-02 1.042325019020251126e-01 2.324965987449982563e-01 1.647045703908915359e-01 8.112865966164256593e-02 1.119277060903403620e-01 7.220131741527169604e-04 7.459468839819140794e-04 6.747653335101513753e-04 7.819617084854149375e-04
3.000000000000000000e+03 1.280937693566222002e-01 1.929761668972058697e-01 1.633962099961813394e-02 6.023943283091415246e-02 1.169592642541014693e-01 2.081485458810384548e-01 1.909754842950038556e-02 5.900725559389724539e-02 2.431342636663250730e-03 1.345903303705570098e-03 3.918212490130562023e-04 4.023483909456862691e-04 1.358102813598257574e-01 2.041718911788434898e-01 1.025618803396179980e-02 6.266682124514430519e-02 1.088074569403776337e-01 2.324054279973024328e-01 1.233594423458675600e-02 6.054982368230854561e-02 2.028144137103252316e-03 9.780197728299041323e-04 2.187023977814570594e-04 4.118305925785240842e-04
4.000000000000000000e+03 5.846860465864643641e-02 2.049471680535344953e-01 3.528195368350680282e-03 3.719131284789575081e-02 5.576131796806982344e-02 2.156210103022962732e-01 2.725528822775719583e-03 3.858177335993714235e-02 1.385932707334319464e-03 2.843819755312921942e-04 4.598139081199645317e-04 3.846763878725244917e-04 5.151506621461196533e-02 2.298593275247315659e-01 3.633933220983957043e-03 3.598691338998691314e-02 4.072928210598522614e-02 2.406880635771324328e-01 2.378513676911270160e-03 3.574008710458585064e-02 1.342566148263307129e-03 2.058675245767729292e-04 4.416743327162382681e-04 4.466342416552028538e-04
5.000000000000000000e+03 5.482293758480812768e-02 1.589194043487419938e-01 3.285232762753388137e-03 3.085961925076859819e-02 4.804770308792045974e-02 1.595369672547716500e-01 3.401160778157543904e-03 2.933275410635579478e-02 1.531212916612098400e-03 7.061594467669577791e-04 6.038126361170607307e-04 2.350827381842516639e-04 5.033605786486614053e-02 1.849184760105902214e-01 3.113303364596116309e-03 3.300458119726504269e-02 3.880989099690113769e-02 1.834699889125501471e-01 3.578838180825524243e-03 2.938313901806694980e-02 1.211895673109511214e-03 7.763754543947043105e-04 5.522400056288099841e-04 2.162184098196532928e-04
6.000000000000000000e+03 5.168262537956137131e-02 1.385637759676446312e-01 4.667188928135328208e-03 2.358074873586134615e-02 4.083919006694399639e-02 1.362433002870093723e-01 4.559365096345915740e-03 2.454301314904814776e-02 1.227197853496508461e-03 8.679219581541228971e-04 5.985601815439645828e-04 1.850846930211916134e-04 4.974921297688980615e-02 1.646196731288735726e-01 3.470254146741219743e-03 2.537984131060249879e-02 3.289559224421348405e-02 1.605070801515574297e-01 3.720299190150378344e-03 2.561632112285644122e-02 1.248371136665045672e-03 8.832796416670893064e-04 2.313215342847851322e-04 2.007039492865895678e-04
7.000000000000000000e+03 4.907946630709927177e-02 1.108716386478951349e-01 6.434867867911140890e-03 2.144042455523813978e-02 3.940286230540743923e-02 1.076938614113185783e-01 4.832853976894500858e-03 2.080352923280149799e-02 6.027751857542339902e-04 4.452164417839852228e-04 4.047972143990154485e-04 7.165791118623978826e-04 5.037424009547404602e-02 1.319006780784512112e-01 4.755574296612593253e-03 2.492807533107036302e-02 3.547202920515774016e-02 1.284726810808780872e-01 2.473472359511291827e-03 2.410699483804783563e-02 6.354800181331075448e-04 3.271498843505670005e-04 3.692572705681430910e-04 8.199872287352671582e-04
8.000000000000000000e+03 4.357593841679675145e-02 1.008150464556327175e-01 7.530206605409665334e-03 1.909278320122125699e-02 3.903085181637399453e-02 9.661003854014535430e-02 6.430762705148283971e-03 1.891044277448903493e-02 5.297531702010905208e-04 5.219177728168243125e-04 1.572311964730129614e-03 1.360035059975853600e-03 4.628614040823758602e-02 1.202381778362371229e-01 4.314131658389581264e-03 2.247090143056000577e-02 3.797616390372780815e-02 1.153909405345351219e-01 5.384567004661702273e-03 2.224771692660129294e-02 4.981828495070375314e-04 5.438181391074054481e-04 1.258845562523661955e-03 1.498849048025281900e-03
9.000000000000000000e+03 3.654204417542228356e-02 9.493335522246600100e-02 6.467585439154144994e-03 1.565228830974738083e-02 3.410776873647755614e-02 9.154433124397504118e-02 6.295973929151853395e-03 1.625735954053929289e-02 5.910961090758552750e-04 5.313294553867558461e-04 4.563274114178361837e-04 6.077923105705496489e-04 3.973346714206555524e-02 1.135027658925115562e-01 4.748268137708134759e-03 1.818714899505657553e-02 3.512424520946930834e-02 1.093189162007937865e-01 4.740862279193016129e-03 1.910025960470696296e-02 5.570099023877491794e-04 6.090812432421406544e-04 5.133978760783261671e-04 7.120219079195958065e-04
1.000000000000000000e+04 2.803494536308377694e-02 8.481448264237734236e-02 5.279219434035998908e-03 1.263524209396663794e-02 2.577402809864679303e-02 8.424042322486510748e-02 4.237485642974735990e-03 1.218842441673782286e-02 4.993731472075847765e-04 1.007253420454718188e-03 1.677871606205878297e-03 2.110608343982745862e-03 3.170097250276943113e-02 1.016911245571325978e-01 4.343782151350061849e-03 1.469787075166203300e-02 2.851766451990492279e-02 1.008909139210371481e-01 4.022683107364036052e-03 1.411468423727240545e-02 5.193449735314306344e-04 8.276984728866699018e-04 1.923809598127932015e-03 2.233097255843391905e-03
1.100000000000000000e+04 2.166011377041906355e-02 7.123328943773955813e-02 2.168925482098332542e-03 1.000549127369431725e-02 1.837383447364575317e-02 7.179108245114008968e-02 1.887020403533956571e-03 9.768568877658112895e-03 6.536980140359121639e-04 1.165899787680523209e-03 7.343338415229670778e-04 4.788609517576116934e-04 2.524338558583432215e-02 8.528065853863855961e-02 2.365338184475251296e-03 1.168617960489649887e-02 2.152922109408735712e-02 8.598592953615558088e-02 1.992001897992385934e-03 1.155604107764774714e-02 6.013871854625959038e-04 9.859217542614524040e-04 7.356783507627287846e-04 5.376087519752649002e-04
1.200000000000000000e+04 1.902644625454934582e-02 5.991785493106277505e-02 1.504961729399999573e-03 9.289655798269076670e-03 1.598751771754963746e-02 6.113768633187294244e-02 1.191943885943743493e-03 8.663807537693650820e-03 1.149265031982454888e-03 6.520445041303340019e-04 7.463061501370288602e-04 6.186457535402466092e-04 2.254987922136295064e-02 7.174211303722660693e-02 1.781845051156572901e-03 1.078456575349992161e-02 1.895539863674046074e-02 7.301260160162285906e-02 1.299551069868820716e-03 1.024100872673623826e-02 9.754731340486544767e-04 7.283826657402300538e-04 8.447276932987309028e-04 6.583307435571440725e-04
1.300000000000000000e+04 1.753041442781448633e-02 5.224937287377253575e-02 1.484101802248045596e-03 7.944240002407726778e-03 1.582149297679632735e-02 5.267094588107121972e-02 8.340400794990402485e-04 7.422125213153543330e-03 1.331329606024667534e-03 4.778306235685586024e-04 5.055194802297499103e-04 3.555334240878447018e-04 2.095020140115928450e-02 6.257480673914063429e-02 1.680969664300099127e-03 9.292601984253854794e-03 1.863505338289445437e-02 6.292050297043853824e-02 8.959197605603958165e-04 8.794814473262739518e-03 1.179995651490280649e-03 5.522386832181077742e-04 5.824694841072343985e-04 3.738652905855715278e-04
