# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 2.815987812178551053e+01 2.666294656666010621e+00 1.424778928797541333e+01 1.532082455144039734e+01 5.965069577236852716e+00 2.240638463989833440e+01 2.884618726166573666e+01 1.909579359915159147e+00 1.300777328755004802e+01 1.640033602773925736e+01 6.473541459457457847e+00 2.147968779062966860e+01
1.000000000000000000e+03 9.834377368847833978e+00 1.295642427434861466e+00 5.868529025374715768e-01 1.028223782177681933e+01 5.878193168841355565e+00 4.951085079179327941e+00 9.708869347608088063e+00 9.971766171397203893e-01 5.274761338251062748e-01 9.859982541719235272e+00 5.419364045776047689e+00 4.799758154069718508e+00
2.000000000000000000e+03 8.458095257700390945e-01 2.164878144722038211e+00 6.728363732398648933e-01 1.793152590914071087e+00 2.486379304141638880e+00 1.962763300173185621e-01 8.900063711586725379e-01 2.485193569532181179e+00 7.826550376218118776e-01 1.929720692320959774e+00 2.734283637177564952e+00 1.810761871892405117e-01
3.000000000000000000e+03 3.719078965105840351e-01 1.150735190463522795e+00 4.950085329670733669e-01 8.833725080850991507e-01 1.249197162812889061e+00 1.125777217942297431e-01 3.581595556813965686e-01 1.343600386613067688e+00 5.666564034443488662e-01 9.440699473199265501e-01 1.387120283751318350e+00 1.062299862151245278e-01
4.000000000000000000e+03 1.919679825030102260e-01 8.704305576875261963e-01 4.264809431827393249e-01 5.850256888189960813e-01 8.795419349809732168e-01 7.161412468428067502e-02 1.753620791329869588e-01 1.022072165706145785e+00 5.002873830923330045e-01 6.365895884423227180e-01 9.984758235284659778e-01 7.372580081112385664e-02
5.000000000000000000e+03 1.410087931601529398e-01 6.627623181123872831e-01 3.366166031064992681e-01 4.351985578340311633e-01 6.852385572329777741e-01 6.220229238890056384e-02 1.368041116530386569e-01 7.779462473739507944e-01 3.989036180253084929e-01 4.660024640176010369e-01 7.778089932669759454e-01 6.669623677785255222e-02
6.000000000000000000e+03 1.268882758495508412e-01 5.548469709655706739e-01 2.803575801684245472e-01 3.724251521691587796e-01 5.894357925214223082e-01 5.350340803465571810e-02 1.241350928236528151e-01 6.509252071446671728e-01 3.326343103713128579e-01 3.994065975899288023e-01 6.717702595714023506e-01 5.692694056345305037e-02
7.000000000000000000e+03 1.082100424765434221e-01 5.016723910829462563e-01 2.545912387483568740e-01 3.192800023128259390e-01 5.219419362136066276e-01 4.547483049350247580e-02 1.048254629591695991e-01 5.889051909495781612e-01 3.017116309734285684e-01 3.462167119134859639e-01 5.983111813509216503e-01 4.924942290370508402e-02
8.000000000000000000e+03 8.884303673789867295e-02 4.660437907183403450e-01 2.369521927749513035e-01 2.738241464152473270e-01 4.671549280874081611e-01 3.893616984824598004e-02 8.640688686549942432e-02 5.472607762552565980e-01 2.806668309413151707e-01 3.000434556976093181e-01 5.374922201011341771e-01 4.379844369107084578e-02
9.000000000000000000e+03 7.561289395657391776e-02 4.320563995581901962e-01 2.190854354912124269e-01 2.406825947622511785e-01 4.229781949523121476e-01 3.498428565920324446e-02 7.493626332014231839e-02 5.089606444519796380e-01 2.594768807579824199e-01 2.664315892841636058e-01 4.881701125138361297e-01 4.031151768578270650e-02
